name,site,company,salary,eduBackground,techRequire
Java 开发工程师,北京·海淀区·白石桥,汇联信通,15-25K·14薪,"1-3年
本科",Java后端开发
java 开发工程师,北京·西城区·西四,中科软,12-18K,"1-3年
本科",Java银行保险MySQLSpringCloud微服务架构
java 高级工程师,北京·朝阳区·望京,一点资讯,25-50K,"1-3年
本科",分布式技术多线程微服务架构架构师
java 软件工程师,北京·昌平区·天通苑,遇道世纪,12-20K·14薪,"5-10年
本科",CSSMVC开发Socket技术网络协议SpringBoot
高级 java 工程师,北京·西城区·广内大街,北京世纪汇杰,13-18K,"5-10年
大专",JavaHTML/CSSJS
Java 资深/专家工程师,北京·海淀区·清河,小米,20-40K·14薪,"5-10年
本科",后端工程师架构师JavaMySQLRedis
java web,北京·海淀区·中关村,空曌科技,9-14K,"3-5年
本科",JavaHTML5Javascript
Java 开发,北京·昌平区·立水桥,千曲科技,10-15K,"1-3年
本科",分布式技术服务器配置
Java 开发,北京·朝阳区·望京,嘉泰蒙得,19-30K,"1-3年
学历不限",PHPPythonCSS分布式技术消息队列UnixLinux
Java 中国电信云计算,北京·西城区·新街口,中国电信集成,14-22K,"3-5年
本科",架构Java后端开发
Java 后端开发工程师,北京·朝阳区·小红门,阅动力,15-22K·13薪,"经验不限
本科",后端工程师JavaSpringMyBatis
高级 Java 开发工程师,北京·朝阳区·望京,Keep,25-50K·14薪,"3-5年
本科",多线程数据结构消息队列RedisNoSQLMongoDB
Java 开发（大数据方向）,北京·朝阳区·劲松,勾正数据,10-15K,"1-3年
本科",JavaHadoop后端开发
Java Server开发工程师,北京·朝阳区·大望路,天津网安,15-25K,"3-5年
本科",.NETJavaJavascript
Java 游戏后端工程师,北京·朝阳区·798,灼卓文化创意,18-25K,"5-10年
本科",JavaSpring
Java 高级软件工程师,北京·东城区·建国门内,华为,20-40K·16薪,"3-5年
本科",Java微服务架构消息队列容器技术
JAVA 高级开发工程师,北京·海淀区·西北旺,用友网络,15-26K·14薪,"3-5年
本科",Java多线程搜索引擎技术分布式技术微服务架构
资深 JAVA 开发工程师,北京·海淀区·中关村,新东方,25-40K·15薪,"3-5年
本科",基础架构前沿技术核心团队上市公司福利超多
Java 初级开发工程师,北京·西城区·西直门,沃丰科技,10-15K·13薪,"1-3年
本科",WEB开发后端开发Linux初级软件工程师分布式技术
Java web开发工程师,北京·昌平区·北七家,华佑教育,8-11K,"5-10年
大专",JavaSQLHTMLCSSShellPHP服务器配置
java (互联网大厂＋双休）,北京·朝阳区·望京,纬创软件,16-20K,"3-5年
本科",MyBatisdubbospringbootJVM
JAVA 中高级研发工程师,北京·朝阳区·左家庄,小阔驴,17-22K,"5-10年
本科",后端工程师全栈工程师JavaMySQLRedis
Java 软件开发工程师,北京·朝阳区·三元桥,云普乐斯,12-24K,"1-3年
大专",Java后端开发数据库JavaScript
Java 软件开发工程师,北京·大兴区·亦庄,北京力优科技有限公司,7-12K·13薪,"经验不限
本科",HTMLCSSSQL网络协议多线程WindowsMySQL
