,name,site,company,salary,eduBackground,experience,techRequire
0,Java 开发工程师,北京·海淀区·白石桥,汇联信通,17142.0,本科,1-3年,Java后端开发
1,java 开发工程师,北京·西城区·西四,中科软,15000.0,本科,1-3年,Java银行保险MySQLSpringCloud微服务架构
2,java 高级工程师,北京·朝阳区·望京,一点资讯,37500.0,本科,1-3年,分布式技术多线程微服务架构架构师
3,java 软件工程师,北京·昌平区·天通苑,遇道世纪,13714.0,本科,5-10年,CSSMVC开发Socket技术网络协议SpringBoot
4,高级 java 工程师,北京·西城区·广内大街,北京世纪汇杰,15500.0,大专,5-10年,JavaHTML/CSSJS
5,Java 资深/专家工程师,北京·海淀区·清河,小米,25714.0,本科,5-10年,后端工程师架构师JavaMySQLRedis
6,java web,北京·海淀区·中关村,空曌科技,11500.0,本科,3-5年,JavaHTML5Javascript
7,Java 开发,北京·昌平区·立水桥,千曲科技,12500.0,本科,1-3年,分布式技术服务器配置
8,Java 开发,北京·朝阳区·望京,嘉泰蒙得,24500.0,学历不限,1-3年,PHPPythonCSS分布式技术消息队列UnixLinux
9,Java 中国电信云计算,北京·西城区·新街口,中国电信集成,18000.0,本科,3-5年,架构Java后端开发
10,Java 后端开发工程师,北京·朝阳区·小红门,阅动力,15857.0,本科,经验不限,后端工程师JavaSpringMyBatis
11,高级 Java 开发工程师,北京·朝阳区·望京,Keep,32142.0,本科,3-5年,多线程数据结构消息队列RedisNoSQLMongoDB
12,Java 开发（大数据方向）,北京·朝阳区·劲松,勾正数据,12500.0,本科,1-3年,JavaHadoop后端开发
13,Java Server开发工程师,北京·朝阳区·大望路,天津网安,20000.0,本科,3-5年,.NETJavaJavascript
14,Java 游戏后端工程师,北京·朝阳区·798,灼卓文化创意,21500.0,本科,5-10年,JavaSpring
15,Java 高级软件工程师,北京·东城区·建国门内,华为,25714.0,本科,3-5年,Java微服务架构消息队列容器技术
16,JAVA 高级开发工程师,北京·海淀区·西北旺,用友网络,17571.0,本科,3-5年,Java多线程搜索引擎技术分布式技术微服务架构
